,iptg,median_yfp,filename,strain,backbone,plasmid
2,10,-0.03,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
3,20,-0.02,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
4,30,-0.02,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
5,40,-0.02,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
6,70,-0.03,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
7,100,-0.08,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
8,200,-0.1,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
9,500,-0.04,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
10,1000,1.39,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
11,2000,1.43,Interop_DH5alpha_pSeva221_QacR_Q1.csv,DH5alpha,pSeva221,QacR_Q1
0,1,5.8,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
1,5,1.89,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
2,10,0.91,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
3,20,0.03,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
4,30,0.13,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
5,40,0.03,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
6,70,0.03,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
7,100,0.0,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
8,200,0.06,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
9,500,0.09,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
10,1000,0.16,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
11,2000,0.28,Interop_CC118Lpir_pSeva231_SrpR_S2.csv,CC118Lpir,pSeva231,SrpR_S2
0,1,9.49,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
1,5,7.08,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
2,10,7.0,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
3,20,6.35,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
4,30,5.71,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
5,40,5.78,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
6,70,5.49,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
7,100,4.89,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
8,200,3.61,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
9,500,2.73,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
10,1000,2.08,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
11,2000,1.71,Interop_KT2440_pSeva221_LitR_L1.csv,KT2440,pSeva221,LitR_L1
0,1,14.6,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
1,5,11.4,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
2,10,13.9,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
3,20,5.9,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
4,30,6.9,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
5,40,8.7,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
6,70,3.8,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
7,100,3.5,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
8,200,1.5,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
9,500,1.6,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
10,1000,2.3,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
11,2000,2.8,Interop_CC118Lpir_pSeva221_AmeR_F1.csv,CC118Lpir,pSeva221,AmeR_F1
0,1,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
1,5,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
2,10,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
3,20,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
4,30,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
5,40,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
6,70,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
7,100,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
8,200,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
9,500,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
10,1000,0.0,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
11,2000,0.01,Interop_KT2440_pSeva231_PhIF_P3.csv,KT2440,pSeva231,PhIF_P3
0,1,0.42,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
1,5,0.42,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
2,10,0.42,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
3,20,0.4,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
4,30,0.39,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
5,40,0.38,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
6,70,0.37,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
7,100,0.35,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
8,200,0.28,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
9,500,0.17,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
10,1000,0.07,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
11,2000,0.02,Interop_KT2440_pSeva251_HIyIIR_H1.csv,KT2440,pSeva251,HIyIIR_H1
0,1,1.48,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
1,5,0.09,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
2,10,0.09,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
3,20,-0.06,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
4,30,0.03,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
5,40,-0.03,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
6,70,0.03,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
7,100,-0.03,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
8,200,-0.06,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
9,500,-0.06,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
10,1000,-0.06,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
11,2000,0.0,Interop_CC118Lpir_pSeva231_PhIF_P1.csv,CC118Lpir,pSeva231,PhIF_P1
0,1,0.41,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
1,5,0.4,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
2,10,0.38,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
3,20,0.39,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
4,30,0.39,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
5,40,0.37,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
6,70,0.36,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
7,100,0.31,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
8,200,0.24,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
9,500,0.16,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
10,1000,0.12,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
11,2000,0.1,Interop_KT2440_pSeva251_LmrA_N1.csv,KT2440,pSeva251,LmrA_N1
0,1,1.31,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
1,5,1.08,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
2,10,1.07,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
3,20,1.02,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
4,30,0.94,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
5,40,0.91,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
6,70,0.89,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
7,100,0.84,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
8,200,0.68,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
9,500,0.48,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
10,1000,0.3,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
11,2000,0.16,Interop_KT2440_pSeva221_SrpR_S3.csv,KT2440,pSeva221,SrpR_S3
0,1,0.43,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
1,5,0.07,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
2,10,0.04,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
3,20,0.01,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
4,30,0.0,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
5,40,0.0,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
6,70,0.0,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
7,100,-0.01,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
8,200,-0.02,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
9,500,-0.03,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
10,1000,-0.05,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
11,2000,-0.02,Interop_DH5alpha_pSeva221_LcaRA_I1.csv,DH5alpha,pSeva221,LcaRA_I1
0,1,0.59,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
1,5,0.56,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
2,10,0.53,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
3,20,0.5,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
4,30,0.47,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
5,40,0.46,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
6,70,0.44,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
7,100,0.4,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
8,200,0.34,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
9,500,0.25,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
10,1000,0.2,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
11,2000,0.12,Interop_KT2440_pSeva231_SrpR_S4.csv,KT2440,pSeva231,SrpR_S4
0,1,11.56,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
1,5,5.41,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
2,10,2.25,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
3,20,0.55,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
4,30,0.45,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
5,40,0.4,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
6,70,0.38,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
7,100,0.37,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
8,200,0.39,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
9,500,0.36,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
10,1000,0.3,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
11,2000,0.39,Interop_DH5alpha_pAN_PhIF_P3.csv,DH5alpha,pAN,PhIF_P3
0,1,0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
1,5,0.0,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
2,10,0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
3,20,0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
4,30,0.6,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
5,40,-0.7,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
6,70,0.0,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
7,100,-0.8,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
8,200,-0.5,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
9,500,-0.1,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
10,1000,0.2,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
11,2000,0.2,Interop_CC118Lpir_pSeva221_Bm3R1_B2.csv,CC118Lpir,pSeva221,Bm3R1_B2
0,1,0.85,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
1,5,0.81,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
2,10,0.59,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
3,20,0.55,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
4,30,0.41,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
5,40,0.41,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
6,70,0.4,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
7,100,0.38,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
8,200,0.41,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
9,500,0.4,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
10,1000,0.36,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
11,2000,0.35,Interop_DH5alpha_pAN_Bm3R1_B2.csv,DH5alpha,pAN,Bm3R1_B2
0,1,0.5,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
1,5,0.49,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
2,10,0.48,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
3,20,0.43,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
4,30,0.46,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
5,40,0.44,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
6,70,0.4,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
7,100,0.38,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
8,200,0.31,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
9,500,0.17,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
10,1000,0.08,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
11,2000,0.03,Interop_KT2440_pSeva221_HIyIIR_H1.csv,KT2440,pSeva221,HIyIIR_H1
0,1,10.48,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
1,5,9.04,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
2,10,8.83,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
3,20,8.83,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
4,30,8.54,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
5,40,8.79,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
6,70,8.42,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
7,100,8.42,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
8,200,9.16,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
9,500,8.21,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
10,1000,7.88,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
11,2000,7.27,Interop_KT2440_pSeva231_PhIF_P2.csv,KT2440,pSeva231,PhIF_P2
0,1,17.34,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
1,5,17.34,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
2,10,17.01,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
3,20,17.34,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
4,30,17.01,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
5,40,16.04,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
6,70,15.83,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
7,100,15.07,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
8,200,13.78,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
9,500,12.17,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
10,1000,10.77,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
11,2000,8.69,Interop_KT2440_pSeva221_PsrA_R1.csv,KT2440,pSeva221,PsrA_R1
0,1,3.66,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
1,5,3.01,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
2,10,3.12,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
3,20,3.19,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
4,30,3.08,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
5,40,3.38,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
6,70,3.53,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
7,100,3.09,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
8,200,2.98,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
9,500,2.6,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
10,1000,2.25,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
11,2000,1.69,Interop_KT2440_pSeva251_PhIF_P2.csv,KT2440,pSeva251,PhIF_P2
0,1,1.08,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
1,5,1.0,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
2,10,0.93,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
3,20,0.85,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
4,30,0.8,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
5,40,0.78,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
6,70,0.73,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
7,100,0.65,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
8,200,0.58,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
9,500,0.34,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
10,1000,0.24,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
11,2000,0.14,Interop_KT2440_pSeva231_SrpR_S2.csv,KT2440,pSeva231,SrpR_S2
0,1,6.71,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
1,5,6.61,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
2,10,5.89,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
3,20,4.83,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
4,30,4.79,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
5,40,2.7,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
6,70,1.69,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
7,100,1.51,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
8,200,1.73,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
9,500,1.28,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
10,1000,1.12,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
11,2000,1.7,Interop_DH5alpha_pAN_AmeR_F1.csv,DH5alpha,pAN,AmeR_F1
0,1,0.6,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
1,5,0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
2,10,0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
3,20,0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
4,30,0.6,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
5,40,0.7,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
6,70,0.9,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
7,100,0.8,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
8,200,0.5,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
9,500,0.5,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
10,1000,0.2,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
