,iptg,median_yfp,filename,strain,backbone,plasmid
8,200,1.5,Interop_KT2440_pSeva231_LmrA_N1.csv,KT2440,pSeva231,LmrA_N1
9,500,0.98,Interop_KT2440_pSeva231_LmrA_N1.csv,KT2440,pSeva231,LmrA_N1
10,1000,0.8,Interop_KT2440_pSeva231_LmrA_N1.csv,KT2440,pSeva231,LmrA_N1
11,2000,0.54,Interop_KT2440_pSeva231_LmrA_N1.csv,KT2440,pSeva231,LmrA_N1
0,1,1.8,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
1,5,0.6,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
2,10,0.9,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
3,20,0.4,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
4,30,0.2,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
5,40,0.2,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
6,70,0.2,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
7,100,0.0,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
8,200,-0.1,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
9,500,0.0,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
10,1000,-0.3,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
11,2000,-0.1,Interop_CC118Lpir_pSeva221_Bm3R1_B3.csv,CC118Lpir,pSeva221,Bm3R1_B3
0,1,21.6,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
1,5,13.8,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
2,10,19.6,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
3,20,12.4,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
4,30,4.0,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
5,40,0.3,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
6,70,-0.8,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
7,100,-1.0,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
8,200,-1.2,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
9,500,-0.3,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
10,1000,0.8,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
11,2000,0.7,Interop_CC118Lpir_pSeva221_PhIF_P3.csv,CC118Lpir,pSeva221,PhIF_P3
0,1,5.7,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
1,5,3.44,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
2,10,3.13,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
3,20,0.98,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
