,filename,date,strain,plasmid,backbone,iptg_concentration,median
228,Huseyin2019-09-24.0237.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,0,10.610475540161133
229,Huseyin2019-09-24.0238.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,5,8.516910552978516
230,Huseyin2019-09-24.0239.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,10,8.233856201171875
231,Huseyin2019-09-24.0240.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,20,8.277242660522461
232,Huseyin2019-09-24.0241.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,30,7.308961391448975
233,Huseyin2019-09-24.0242.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,40,7.045045852661133
234,Huseyin2019-09-24.0243.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,70,6.26996374130249
235,Huseyin2019-09-24.0244.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,100,6.088330268859863
236,Huseyin2019-09-24.0245.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,200,5.038385391235352
237,Huseyin2019-09-24.0246.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,500,3.6654834747314453
238,Huseyin2019-09-24.0247.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,1000,2.6316094398498535
239,Huseyin2019-09-24.0248.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,2000,1.7764205932617188
